system:time_start,Sprawl_Zone_Core,Control_Zone,Sprawl_North,Sprawl_South,Sprawl_East,Sprawl_West
"Aug 11, 2022",0.141,0.359,0.102,0.207,0.001,0.235
"Aug 26, 2022",0.149,,0.102,0.229,0.001,0.28
"Oct 8, 2022",0.309,0.808,0.367,0.344,0.211,0.395
"Oct 8, 2022",0.307,0.804,0.363,0.341,0.209,0.393
"Oct 10, 2022",0.317,0.799,0.327,0.33,0.171,0.376
"Oct 18, 2022",0.319,0.824,0.347,0.336,0.176,0.374
"Oct 18, 2022",0.321,0.821,0.351,0.337,0.185,0.376
"Nov 4, 2022",0.342,0.828,0.337,0.336,0.138,0.38
"Nov 4, 2022",0.339,0.825,0.33,0.332,0.126,0.376
"Jan 11, 2023",0.289,0.744,0.286,0.317,0.113,0.302
"Jan 13, 2023",,0.693,0.124,,0.127,
"Jan 18, 2023",0.308,,0.055,0.318,-0.207,0.313
"Jan 21, 2023",0.305,0.742,0.242,0.332,-0.009,0.305
"Jan 21, 2023",0.3,0.729,0.268,0.321,0.057,0.299
"Feb 7, 2023",0.052,0.151,0.052,0.058,0.045,0.058
"Feb 15, 2023",0.23,0.624,0.261,0.247,0.158,0.233
"Mar 2, 2023",0.621,0.582,0.473,,0.083,
"May 26, 2023",0.302,0.876,0.452,0.336,0.339,0.366
"May 26, 2023",0.305,0.872,0.452,0.336,0.34,0.365
"Jun 5, 2023",,,,,,
"Jun 7, 2023",0.277,0.813,0.365,0.292,0.242,0.341
"Jun 10, 2023",0.259,0.825,0.329,0.29,0.139,0.326
"Jul 7, 2023",0.191,0.692,0.254,0.287,0.175,0.32
"Jul 7, 2023",0.205,0.645,0.263,0.283,0.169,0.314
"Aug 21, 2023",,0.644,,,,
"Sep 5, 2023",0.269,0.584,0.352,0.297,0.28,0.345
"Sep 5, 2023",0.266,0.607,0.363,0.299,0.287,0.349
"Sep 15, 2023",0.237,0.564,0.271,0.283,0.18,0.318
"Sep 15, 2023",0.235,0.559,0.268,0.281,0.178,0.315
"Oct 15, 2023",0.3,0.723,0.334,0.349,0.128,0.378
"Nov 7, 2023",0.325,0.755,0.298,0.379,0.038,0.377
"Nov 17, 2023",0.352,0.779,0.401,0.399,0.221,0.401
"Nov 17, 2023",0.349,0.773,0.391,0.394,0.211,0.397
"Jan 11, 2024",,,,,,
"Jan 16, 2024",0.292,0.728,0.177,0.343,-0.141,0.33
"Jan 18, 2024",0.29,0.693,0.185,0.323,-0.089,0.324
"Jan 18, 2024",0.287,0.683,0.221,0.315,-0.013,0.319
"Jan 26, 2024",0.301,0.727,0.328,0.359,0.164,0.336
"Jan 26, 2024",0.306,0.73,0.336,0.364,0.173,0.34
"Feb 12, 2024",0.295,0.769,0.288,0.344,0.049,0.329
"Feb 12, 2024",0.296,0.765,0.293,0.343,0.067,0.33
"May 7, 2024",0.373,0.864,0.466,0.413,0.249,0.409
"May 7, 2024",0.363,0.845,0.472,0.393,0.321,0.409
"May 20, 2024",0.338,0.859,0.421,0.375,0.318,0.402
"May 20, 2024",0.338,0.857,0.42,0.375,0.319,0.401
"Jun 21, 2024",0.34,,0.256,0.342,0.019,0.359
"Jun 26, 2024",0.304,0.777,0.237,0.332,-0.188,0.366
"Jun 26, 2024",0.297,0.757,0.095,0.326,-0.176,0.358
"Jul 19, 2024",0.29,0.726,0.216,0.359,-0.154,0.384
"Jul 29, 2024",0.304,0.7,0.351,0.364,0.184,0.39
"Jul 29, 2024",0.304,0.691,0.359,0.36,0.214,0.386
"Jul 31, 2024",0.309,0.648,0.365,0.315,0.325,0.313
"Aug 23, 2024",0.255,0.551,0.293,0.278,0.185,0.096
"Aug 25, 2024",,0.576,,,,
"Sep 14, 2024",0.252,0.581,0.401,0.327,0.366,0.343
"Sep 19, 2024",0.257,0.368,0.224,0.313,0.146,0.337
"Sep 19, 2024",0.26,0.365,0.227,0.306,0.151,0.33
"Oct 24, 2024",0.366,0.73,0.326,0.381,0.028,0.39
"Oct 24, 2024",0.347,0.723,0.304,0.366,0.07,0.386
"Nov 26, 2024",0.378,0.77,0.485,0.381,0.309,0.364
"Nov 26, 2024",0.378,0.769,0.482,0.381,0.307,0.363
"Jan 2, 2025",0.36,0.733,0.313,0.351,0.101,0.335
"Jan 2, 2025",0.367,0.753,0.28,0.366,0.05,0.343
"Jan 25, 2025",0.384,0.776,0.292,0.431,0.199,0.363
"Jan 30, 2025",0.369,0.782,0.113,0.438,-0.142,0.364
"Jan 30, 2025",0.358,0.763,0.118,0.416,-0.119,0.352
"Feb 6, 2025",0.38,0.733,0.363,0.412,-0.054,0.508
"Mar 1, 2025",,0.397,0.174,0.108,,
"Mar 3, 2025",0.331,0.711,0.229,0.356,0.024,0.311
"Mar 3, 2025",0.332,0.716,0.211,0.354,-0.011,0.312
"Mar 6, 2025",0.308,0.708,0.311,0.344,0.126,0.307
"Mar 6, 2025",0.306,0.707,0.304,0.342,0.115,0.306
"Mar 16, 2025",,,,,-0.167,
"Mar 18, 2025",0.315,0.73,0.373,0.345,0.224,0.313
"Mar 18, 2025",0.311,0.73,0.367,0.345,0.212,0.312
"Mar 20, 2025",0.29,0.706,0.338,0.312,0.211,0.293
"Mar 20, 2025",0.29,0.704,0.335,0.311,0.206,0.292
"Mar 30, 2025",0.304,0.743,0.401,0.328,0.303,0.323
"Mar 30, 2025",0.304,0.744,0.399,0.328,0.299,0.323
"Apr 2, 2025",0.314,0.76,0.351,0.34,0.224,0.329
"Apr 2, 2025",0.314,0.763,0.346,0.34,0.215,0.328
"Apr 2, 2025",0.318,0.775,0.357,0.355,0.227,0.337
"Apr 2, 2025",0.338,0.775,0.353,0.363,0.222,0.336
"Apr 5, 2025",0.33,0.796,0.367,0.369,0.24,0.357
"Apr 5, 2025",0.329,0.794,0.363,0.368,0.237,0.356
"Apr 7, 2025",0.328,0.795,0.38,0.361,0.225,0.361
"Apr 7, 2025",0.327,0.794,0.377,0.359,0.222,0.36
"Apr 17, 2025",0.33,0.805,0.387,0.367,0.256,0.387
"Apr 17, 2025",0.33,0.805,0.385,0.367,0.251,0.387
"Apr 27, 2025",0.355,0.812,0.412,0.39,0.294,0.405
"Apr 27, 2025",0.354,0.796,0.41,0.385,0.301,0.402
"Apr 29, 2025",0.333,0.818,0.402,0.365,0.275,0.401
"Apr 29, 2025",0.333,0.815,0.402,0.364,0.276,0.401
"Apr 30, 2025",0.352,0.832,0.418,0.384,0.317,0.417
"Apr 30, 2025",0.355,0.828,0.416,0.383,0.318,0.414
"May 2, 2025",0.314,0.789,0.403,0.347,0.297,0.381
"May 2, 2025",0.329,0.783,0.408,0.367,0.317,0.382
"May 2, 2025",0.328,0.779,0.405,0.365,0.314,0.38
"May 10, 2025",,,,,,
"May 17, 2025",0.332,0.75,0.409,0.357,0.303,0.396
"Jun 18, 2025",0.255,0.599,0.28,0.318,0.147,0.361
"Jun 19, 2025",0.26,0.616,0.245,0.334,0.067,0.374
"Jun 19, 2025",0.263,0.592,0.284,0.329,0.178,0.367
"Jul 8, 2025",0.204,,0.167,0.289,0.069,0.43
"Jul 8, 2025",0.204,,0.177,0.287,0.087,0.416
"Jul 9, 2025",,,,,,
"Jul 11, 2025",0.195,0.433,0.163,0.271,0.056,0.313
"Jul 11, 2025",0.195,0.43,0.168,0.269,0.069,0.311
"Jul 11, 2025",0.198,0.44,0.165,0.278,0.064,0.32
"Jul 11, 2025",0.198,0.436,0.172,0.276,0.08,0.318
"Jul 16, 2025",0.166,0.392,0.143,,-0.044,0.239
"Aug 10, 2025",,0.442,0.008,,-0.004,
"Aug 10, 2025",0.187,,0.233,0.232,0.195,0.325
"Aug 15, 2025",0.216,0.425,0.212,0.3,0.141,0.335
"Aug 15, 2025",0.216,0.422,0.211,0.298,0.14,0.333
"Aug 17, 2025",0.2,0.425,0.158,0.284,0.023,0.323
"Aug 17, 2025",0.199,0.422,0.161,0.282,0.031,0.321
"Aug 25, 2025",0.207,0.411,0.177,0.289,0.097,0.311
"Aug 25, 2025",0.207,0.406,0.178,0.287,0.099,0.31
"Sep 19, 2025",0.286,0.689,0.258,0.349,0.151,0.356
"Sep 19, 2025",0.285,0.692,0.251,0.349,0.138,0.356
"Sep 19, 2025",0.287,0.701,0.25,0.363,0.127,0.365
"Sep 22, 2025",0.29,0.718,0.324,0.36,0.184,0.499
"Oct 6, 2025",0.281,0.781,0.283,0.34,0.101,0.374
"Oct 6, 2025",0.28,0.777,0.278,0.337,0.098,0.371
"Oct 9, 2025",,,,,,
"Oct 24, 2025",0.367,0.847,0.317,0.386,0.064,0.381
